"tarjim","pilih"
"bit","bit ; mata"
"bit","cebis"
"bit","cebisan"
"bit","keping"
"bit","sebentar"
"bit","sedikit"
"weight","batu timbang"
"weight","berat"
"weight","berat ; pemberat"
"weight","beratan"
"weight","beratnya"
"weight","beratnya ; bungkal"
"weight","bobot"
"weight","pemberat"
"weight","pemberat ; berat"
"suddenly","dadak"
"suddenly","tiba"
"suddenly","tiba-tiba"
"suddenly","tiba-tibanya"
"discover","cari"
"discover","dapat"
"discover","ditemukan"
"discover","jumpa"
"discover","mendapati ; menjumpai"
"discover","menemukan"
"discover","menjumpai"
"discover","temui"
"discover","temukan"
"candidate","calon"
"candidate","calon ; jagoan"
"candidate","kandidat"
"top","atas"
"top","atasnya"
"top","bagian atas"
"top","bahagian atas"
"top","blaus"
"top","diakhiri"
"top","disudahi"
"top","gasing"
"production","barang buatan"
"production","pembuatan"
"production","pembuatan ; pengeluaran"
"production","penerbitan"
"production","pengeluaran"
"production","penghasilan"
"production","pengusahaan"
"production","produksi"
"treat","belanja"
"treat","membelanjai"
"treat","memikirkan"
"treat","memperlakukan"
"trip","khayalan"
"trip","memerangkap"
"trip","meyandung"
"trip","pelayaran"
"trip","pelentik"
"trip","pemergian"
"trip","perjalanan"
"trip","tersandung"
"evening","malam"
"evening","malem"
"evening","petang"
"evening","petang ; senjakala"
"evening","senjakala"
"evening","sore"
"affect","aruh , mempengaruhi ."
"affect","jejas"
"affect","mempengaruhi"
"affect","menjejaskan"
"affect","menyentuh , mempengaruhi ."
"affect","menyukai"
"inside","dalam"
"inside","dalaman"
"inside","di dalam"
"inside","isi"
"inside","masuk"
"inside","pusat"
"inside","tengah"
"conference","konferens"
"conference","konferensi"
"conference","muktamad"
"conference","muktamar"
"conference","multaqa"
"conference","musyawarah"
"conference","persidangan"
"conference","perundingan"
"unit","asas"
"unit","kesatuan"
"unit","satuan"
"unit","se-"
"unit","sukatan"
"unit","unit"
"unit","unit ; se"
"best","paling"
"best","paling baik"
"best","terbaik"
"best","unggul"
"style","benang sari"
"style","cara"
"style","gaya"
"style","ketumbit"
"style","membentuk"
"style","menggayakan"
"style","mereka"
"style","stail"
"style","timbil"
"adult","baligh"
"adult","berakal"
"adult","dewasa"
"adult","dewasa , cukup umur ."
"adult","orang dewasa"
"adult","sudah besar"
"worry","bimbang"
"worry","bimbanglah"
"worry","gangguan"
"worry","godaan"
"worry","kebimbangan"
"worry","kebimbangan ; susah"
"worry","kecemasan"
"range","antara"
"range","banjar"
"range","banjaran"
"range","barisan"
"range","deretan , barisan , banjaran ; membariskan , menyusun ."
"range","had"
"range","jarak"
"range","julat"
"range","julat ; banjaran"
"mention","cakapkan"
"mention","disebutkan"
"mention","mencakapkan"
"mention","mengatakan"
"mention","menyatakan"
"mention","menyebut"
"mention","menyebutkan"
"mention","nyatakan"
"mention","sebut"
"rather","agak"
"rather","agak , agak , agak ."
"rather","agak , lebih suka , juga , sedikit ."
"rather","cukup"
"rather","hampir-hampir"
"rather","juga"
"rather","lebib"
"rather","relatif"
"far","berjauhan"
"far","jauh"
"far","larut"
"deep","amat"
"deep","dalam"
"deep","luas"
"deep","mendalam"
"past","dahulu"
"past","lain , lewat , sudah , masa yang lain ."
"past","lampau"
"past","lepas"
"past","lepas ; masa lalu ; masa silam ; sudah-sudah"
"past","masa dahulu"
"past","masa lalu"
"past","masa lampau"
"past","masa silam"
"edge","engsot"
"individual","individu"
"individual","oknum"
"individual","persendirian"
"individual","perseorangan"
"individual","perseorangan , keseorangan , individu ."
"individual","satu"
"individual","sendiri"
"individual","tersendiri"
"specific","khusus"
"specific","khusus ; tetap"
"specific","spesifik"
"specific","tentu"
"specific","tertentu"
"trouble","bencana"
"trouble","berkacau"
"trouble","ganggu ; mengganggu"
"trouble","gelisah"
"trouble","kekacauan"
"trouble","kesukaran"
"necessary","harus"
"necessary","mesti"
"necessary","must perlu"
"necessary","mustahak"
"necessary","perlu"
"necessary","perlu , mustahak ."
"necessary","wajib"
"throughout","segenap"
"throughout","seluruh"
"challenge","bantahan"
"challenge","beradu"
"challenge","cabar"
"challenge","cabaran"
"challenge","lawan"
"challenge","membantah"
"challenge","mencabar"
"challenge","tanding"
"challenge","tentangan , cabaran ."
"fear","bimbang"
"fear","ketakutan"
"fear","ketakutan , gentar ; takut akan ."
"fear","khuatir"
"fear","menakuti"
"fear","menakutkan"
"fear","penakutan"
"shoulder","bahu"
"shoulder","bertanggungjawab"
"shoulder","blade"
"shoulder","membahu"
"shoulder","memikul"
"shoulder","menanggung"
"shoulder","pundak"
"shoulder","strap"
"institution","adat"
"institution","institusi"
"institution","lembaga"
"institution","pendirian"
"institution","penubuhan"
"institution","peraturan"
"institution","perbadanan"
"institution","permulaan"
"institution","pertubuhan"
"middle","pertengahan"
"middle","sederhana"
"middle","tengah"
"sea","laut"
"sea","laut , lautan ."
"sea","laut ; samudera"
"sea","lautan"
"sea","urchin"
"dream","angan-angan"
"dream","bermimpi"
"dream","bermimpikan"
"dream","harapan"
"dream","impi"
"dream","impi ; mimpi"
"dream","kelamun"
"bar","alangan"
"bar","bar"
"bar","bar ; batang ; palang"
"bar","bar ; palang ; benting ; batang ; keping"
"bar","beting"
"bar","gosong"
"bar","haram"
"bar","i) batang (kayu , dll) (ii) sekat , halang (iii)jawatan peguam ."
"beautiful","ayu"
"beautiful","bagus"
"beautiful","cantik"
"beautiful","cantik , indah ."
"beautiful","cantik ; elok ; indah ; jelita ; mongel ; permai ; rupawan"
"property","harta"
"property","kepunyaan"
"property","sifat ; harta"
"property","tanah milik"
"instead","sebagai ganti"
"instead","sebagai ganti , pengganti , melainkan ."
"instead","sebagai gantinya"
"instead","sebaliknya"
"improve","bertambah baik"
"improve","diperbaiki"
"improve","ditingkatkan"
"improve","membaik"
"improve","membaiki"
"improve","membaikkan"
"improve","memperbaiki"
"improve","memperelokkan"
"improve","meningkatkan"
"improve","perbaiki"
"stuff","bersumbat"
"stuff","mengasak"
"stuff","mengisi"
"stuff","menyumbat"
"detail","bahagian yang kecil , butir-butir ; perincian , dengan panjang lebar ."
"detail","memperinci"
"detail","menghalusi"
"detail","menugasi"
"detail","perhalusan"
"detail","perincian"
"detail","terperinci"
"method","cara"
"method","cara ; kaedah"
"method","kaedah"
"method","metode"
"method","prosedur"
"method","secara"
"sign","alamat"
"sign","alamat ; tanda"
"sign","bukti , tanda , menandatangani ."
"sign","ditandatangani"
"somebody","orang"
"somebody","seseorang"
"magazine","bekas peluru"
"magazine","Garda"
"magazine","Gatra"
"magazine","i) tempat menyimpan senjata , peluru dan lain-lain (ii) majalah ."
"magazine","Kartini"
"magazine","majalah"
"hotel","hotel"
"hotel","inn"
"hotel","losmen"
"hotel","penginapan"
"hotel","hotel"
"soldier","askar"
"soldier","askar ; perajurit"
"soldier","berjuang"
"soldier","menjadi askar"
"soldier","menjadi pejuang"
"soldier","perajurit"
"soldier","prajurit"
"soldier","serdadu"
"soldier","soldadu"
"reflect","balik"
"reflect","memantul"
"reflect","membayangkan"
"reflect","mencerminkan"
"reflect","menggambarkan"
"reflect","menunjukkan"
"reflect","menyinarkan"
"reflect","pantul"
"heavy","berat"
"heavy","berat , sarat ."
"heavy","besar"
"heavy","deras"
"heavy","hantap"
"heavy","herat"
"heavy","lebat"
"sexual","nafsu"
"sexual","perkelaminan"
"sexual","seks"
"sexual","seksual"
"sexual","syahwat"
"cause","disebabkan"
"cause","membangkitkan"
"cause","membuahkan ; membuat ; mengakibatkan ; menjadikan"
"cause","mengakibatkan"
"cause","menyebabkan"
"cause","sebab"
"cause","sebab , punca , asal ."
"cause","sebabkan"
"bag","beg"
"bag","beg , kantung , karung , pundi ."
"bag","kampit"
"bag","karung , sak , tas , karung , sak , tas ."
"bag","tas"
"heat","bahang"
"heat","bahang ; haba"
"heat","berahi"
"heat","haba"
"heat","hangatkan"
"heat","hawa panas , kepanasan ."
"heat","heath"
"heat","kehangatan"
"fall","air terjun"
"fall","anduhan ; jatuh ; turun ; gugur"
"fall","anjlok"
"fall","gelulur , berguguran , jatuh , gugur , musim rontok ."
"fall","gugur"
"fall","jatuh"
"fall","jatuh ; tumbang"
"marriage","nikah"
"marriage","nikah ; perkahwinan ; pernikahan"
"marriage","penjodohan"
"marriage","perkahwinan"
"marriage","pernikahan"
"marriage","pernikahan , perjodohan ."
"tough","berat"
"tough","degil"
"tough","gagah"
"tough","keras"
"tough","liat"
"tough","payah"
"tough","sasa"
"tough","susah"
"surface","atas"
"surface","cetek"
"surface","dangkal"
"surface","mengapungkan"
"surface","menimbulkan"
"surface","muka"
"surface","permukaan"
"surface","terapung"
"surface","timbul"
"purpose","bercadang"
"purpose","guna"
"purpose","guna ; hajat ; maksud ; tujuan"
"purpose","keazaman"
"purpose","maksud"
"purpose","tujuan"
"exist","ada"
"exist","adalah"
"exist","mendapatkan"
"exist","mengadakan"
"exist","mewujudkan"
"exist","terdapat"
"pattern","bentuk"
"pattern","catan"
"pattern","contoh , umpama , corak ."
"pattern","corak"
"pattern","pola"
"skin","kulit"
"skin","lapah ; menguliti"
"skin","menguliti"
"skin","mengupas"
"skin","menyiat"
"agent","agen"
"agent","agen , alat , perkakas ."
"agent","ajen"
"agent","ejen"
"agent","pegawai"
"agent","wakil"
"agent","wakil , perantaraan , anasir , agen , ejen ."
"owner","empunya"
"owner","pemilik"
"owner","pemunyaan"
"machine","jentera"
"machine","jentera ; pesawat"
"machine","membuat"
"machine","memesinkan"
"machine","menjalankan (mengerjakan) dengan jentera ; pesawat , mesin ."
"machine","mesin"
"machine","pesawat"
"gas","gas"
"gas","gas , wap ."
"gas","gasolin"
"gas","membunuh"
"gas","mengegasi"
"gas","mengegaskan"
"gas","meracuni"
"gas","udara"
"down","bawah"
"down","bulu lembut"
"down","cengkeram"
"down","di bawah"
"down","jatuh"
"down","jatuhkan"
"down","kalahkan"
"down","ke bawah"
"down","mengalahkan"
"ahead","dahulu"
"ahead","depan"
"ahead","ke haluan"
"ahead","maju"
"ahead","sebelumnya"
"commercial","hal perdagangan ; komersil"
"commercial","komers"
"commercial","komersial"
"commercial","komersil"
"commercial","perdagangan"
"address","alamat"
"address","berbicara"
"address","i) alamat (ii) berpidato , menyapa ."
"address","kata sapaan"
"address","mengalamatkan"
"address","menyapa"
"address","pidato"
"address","sapa"
"cancer","barah"
"cancer","kanker"
"cancer","kanser"
"cancer","penyakit kanser"
"test","coba , mencoba ."
"item","acara"
"item","barang"
"item","butir"
"item","butiran"
"item","hal"
"item","item"
"item","perkara"
"reality","hakikat"
"reality","kebenaran , kenyataan , hakikat ."
"reality","kenyataan"
"reality","realiti"
"coach","gerabak"
"coach","jurulatih"
"coach","kereta"
"coach","kereta (biasanya dengan empat roda) ; jurulatih"
"coach","melatih"
"coach","membimbing"
"coach","mengajar"
"step","anak tangga"
"step","bunyi tapak kaki"
"step","langkah"
"step","melangkah"
"step","memijak"
"step","misalnya"
"yard","1)pekarangan , halaman , langsiran , 2)unit ukuran ela ."
"yard","ela"
"yard","halaman"
"yard","perkarangan"
"violence","keganasan"
"total","berjumlah"
"total","dijumlahkan"
"total","jumlah"
"total","jumlahkan"
"total","jumlahnya"
"total","kesemua , jumlah , keseluruhan ."
"total","kesemuanya"
"total","menjumlahkan"
"investment","investasi"
"investment","laburan"
"investment","pelaburan"
"investment","penanam modal"
"investment","penanaman modal"
"discussion","bahasan"
"discussion","bicara"
"discussion","bicara ; muzakarah ; pembicaraan ; perbincangan ; rundingan"
"discussion","diskusi"
"discussion","pembicaraan"
"discussion","perbincangan"
"finger","jari"
"finger","jari tangan"
"finger","menyentuh"
"finger","meraba"
"finger","raba"
"finger","sentuh"
"finger","teraba"
"finger","tersentuh"
"garden","berkebun"
"garden","kebun"
"garden","kebun ; taman"
"garden","taman"
"garden","taman bunga , kebun ."
"notice","amaran"
"notice","board"
"notice","kenyataan"
"notice","lihatan"
"notice","melihat"
"notice","mengerti"
"notice","nampak"
"notice","notis"
"notice","pengumuman"
"collection","himpunan"
"collection","himpunan ; kumpulan ; pungutan"
"collection","koleksi"
"collection","kumpulan"
"collection","kutipan"
"collection","pungutan"
"modern","ME-KAN ; MEMPER- = modernize KE-AN = modernity"
"modern","moden"
"modern","moderen"
"modern","modern"
"modern","mutakhir"
"modern","terbaru"
"task","kewajiban"
"task","mengagihkan tugas"
"task","menugaskan"
"task","pekerjaan"
"task","pekerjaan , tugas ."
"task","tugas"
"partner","gu"
"partner","kawan yang turut sama dalam sesuatu pakatan"
"partner","memasangkan"
"partner","menjadikan pasangan"
"partner","mitra"
"partner","mitra kerja"
"partner","mitra usaha"
"partner","pasangan"
"partner","pekongsi"
"positive","jelas"
"positive","kepositifan"
"positive","pasti"
"positive","positif"
"positive","positip"
"positive","tentu"
"civil","awam"
"civil","sipil"
"civil","sivil"
"kitchen","bilik dapur"
"kitchen","dapur"
"kitchen","dapurkah"
"consumer","konsumer"
"consumer","pembeli"
"consumer","pengguna"
"shot","baju siang malam"
"shot","das"
"shot","ditembak"
"shot","ditembaki"
"shot","ditembakkan"
"shot","gambar"
"shot","hantaran"
"shot","percubaan"
"shot","suntikan"
"shot","syot"
"budget","anggaran"
"budget","anggaran ; belanjawan"
"budget","bajet"
"budget","belanjawan"
"budget","merancang belanjawan"
"wish","berdoa"
"wish","berhajat"
"wish","berharap ; mengharap"
"wish","berhasrat"
"wish","hajat"
"wish","hasrat"
"wish","hendak ; ingin ; keinginan ; niat"
"wish","ingin"
"wish","kehendak"
"wish","keinginan"
"painting","lukisan"
"painting","lukisan ; pengecatan"
"painting","seni lukis"
"scientist","ahli ilmu pengetahuan"
"scientist","sarjana"
"safe","aman"
"safe","aman , selamat , tidak merbahaya , sejahtera ."
"safe","dapat dipercayai"
"safe","dengan selamat"
"safe","hati-hati"
"safe","kan"
"safe","peti besi"
"safe","peti keselamatan"
"safe","selamat"
"agreement","kata sepakat"
"agreement","keakuran"
"agreement","keakuran ; muafakat ; pakatan ; perjanjian"
"capital","bagus"
"capital","i) modal (ii) ibu kota (iii) penting , utama ."
"capital","ibu kota"
"capital","ibu negara"
"capital","ibu negeri"
"capital","kapital"
"capital","modal"
"capital","modal ; pokok"
"mouth","berucap"
"mouth","mengatakan"
"mouth","mengucapkan"
"mouth","mulut"
"mouth","mulut , mulut , mulut ."
"mouth","watering"
"nor","ataupun"
"nor","begitu juga"
"nor","dan tidak pula"
"nor","mahupun"
"nor","tak-atau"
"victim","korban"
"victim","korban , kurban ."
"victim","kurban"
"victim","mangsa"
"newspaper","akhbar"
"newspaper","akhbar ; suratkhabar"
"newspaper","koran"
"newspaper","surat kabar"
"newspaper","surat khabar"
"newspaper","suratkhabar"
"instead","sebagai ganti"
"instead","sebagai ganti , pengganti , melainkan ."
"instead","sebagai gantinya"
"instead","sebaliknya"
"threat","amaran"
"threat","ancaman"
"threat","ancaman , gertak , ugutan , amaran ."
"threat","gertak"
"threat","gertak ; gertakan ; ugutan"
"threat","ugutan"
"responsibility","beban"
"responsibility","beban ; bebanan ; tanggungan ; tanggungjawab"
"responsibility","kewajiban"
"responsibility","pertanggungjawapan"
"responsibility","tanggung jawab"
"responsibility","tanggungjawab"
"responsibility","tugas"
"smile","senyum"
"smile","senyuman"
"smile","senyumlah"
"smile","tersenyum"
"attorney","adpokat"
"attorney","ahli hukum"
"attorney","general"
"attorney","peguam"
"attorney","wakil mutlak , peguam ."
"score","banyak"
"score","berjaya"
"score","kesan calar"
"score","markah"
"score","mata"
"score","melebihi orang lain"
"score","memperoleh"
"score","mencatat skor"
"score","mendapat"
"account","akaun"
"account","cerita , keterangan ."
"account","keterangan"
"account","kira-kira"
"account","laporan"
"account","menerangkan"
"account","menganggap"
"account","menjelaskan"
"account","penjelasan"
"interesting","menarik"
"interesting","mengasyikkan"
"interesting","menyeronokkan"
"audience","audien"
"audience","hadirin"
"audience","khalayak"
"audience","orang ramai"
"audience","pendengar"
"audience","penonton"
"audience","penonton , pendengar ."
"rich","banyak"
"rich","berada"
"rich","berada ; kaya"
"rich","berlemak"
"rich","kaya"
"rich","kayak"
"rich","kayalah"
"rich","mahal"
"rich","mampu"
"rich","pekat"
"dinner","makan malam"
"figure","angka"
"figure","bentuk"
"figure","gambar"
"figure","matematik"
"figure","mencongak"
"figure","menganggar"
"figure","menggambarkan"
"figure","patung"
"vote","buang undi"
"vote","dipilih"
"vote","memilih"
"vote","memungut suara , pungut suara , suara ."
"vote","mengundi"
"vote","pilih"
"vote","pilihan"
"vote","suara"
"vote","undi"
"western","barat"
"western","kebaratan"
"relate","berkaitan"
"relate","bersaudara"
"relate","hubung"
"relate","menceritakan"
"relate","menceritakan , mengisahkan , berhubungan dengan , meriwayatkan ."
"relate","menghubungkan"
"travel","bepergian"
"travel","berjalan"
"travel","berkeliling"
"travel","berpergian , melakukan perjalanan , mengembara ; pengembaraan ."
"travel","mengembara"
"travel","menjelajah"
"debate","bahas"
"debate","berandai ; berbahas ; membahaskan"
"debate","berbahas"
"debate","berdebat"
"debate","berdebatlah"
"debate","debat"
"citizen","penduduk bandar"
"citizen","rakyat"
"citizen","warganegara"
"majority","kebanyakan"
"majority","kebanyakan , suara ramai ."
"majority","majoriti"
"majority","mayoritas"
"none","tiada"
"front","barisan"
"front","barisan ; depan ; hadap"
"front","depan"
"front","hadapan"
"front","menghadap"
"front","menghadapi"
"born","diberanakkan"
"born","dilahirkan"
"born","dizahirkan"
"born","jadi"
"born","lahir"
"born","lahirlah"
"admit","akui"
"admit","diakui"
"admit","i) membenarkan masuk (ii) mengakui"
"admit","menerima"
"admit","mengaku"
"senior","atasan"
"senior","kanan"
"senior","senior"
"senior","tinggi"
"senior","tua"
"assume","andai / anggap"
"assume","anggap / andai"
"wind","angin"
"wind","bayu"
"wind","berpusing"
"wind","berputar"
"wind","kentut"
"wind","melilit"
"wind","memusing"
"wind","memutar"
"key","anak kunci"
"key","jawapan"
"key","kekunci"
"key","kekunci ; mata"
"key","kunci"
"key","memasukkan"
"key","nada muzik"
"key","pasak"
"key","pembimbing"
"professional","ikhtisas"
"professional","profesion"
"professional","profesional"
"professional","profesional , orang yang bermain sukan , berlakon dan lain-lain semata-mata kerana wang ."
"mission","kedutaan"
"mission","misi"
"mission","perutusan"
"mission","tugas"
"fast","bangat"
"alone","bersendiri"
"alone","bersendirian"
"alone","berseorangan"
"alone","hanya"
"alone","keseorangan"
"alone","keseorangan ; sendiri ; seorangan"
"alone","sendiri"
"alone","sendirian"
"customer","langganan"
"customer","pelanggan"
"customer","tamu"
"suffer","derita"
"suffer","derita , menderita ."
"suffer","diderita"
"suffer","kena"
"suffer","menderita"
"suffer","sengsara"
"suffer","sengsaralah"
"successful","berhasil"
"successful","berhasil ; berjaya ; jaya"
"successful","sukses"
"option","kebebasan memilih"
"option","kursus pilihan"
"option","opsi"
"option","opsyen"
"option","pilihan"
"participant","peserta"
"southern","selatan"
"southern","yang di selatan"
"fresh","baharu"
"fresh","baru"
"fresh","basah"
"fresh","nyaman"
"fresh","nyaman ; segar"
"fresh","segar"
"fresh","segarlah"
"fresh","sejuk"
"eventually","akhirnya"
"eventually","lama kelamaan"
"eventually","lama-kelamaan"
"eventually","lama-kelamaannya"
"eventually","lama-lama"
"eventually","lambat laun"
"eventually","lambat-laun"
"eventually","nantinya , belakangan , akhirnya , alhasil ."
"eventually","walhasil"
"no","bukan"
"no","enggak"
"no","nggak"
"no","tak"
"no","tak ; tiada ; tidak"
"no","tiada"
"forest","belantara"
"forest","belantara ; hutan ; rimba"
"forest","hutan"
"forest","rimba"
"video","video"
"global","seantero"
"global","sejagat"
"global","seluruh"
"global","seluruh , global ."
"global","seluruh , global ."
"reform","membentuk semula"
"reform","memulihkan"
"reform","menyusun semula"
"reform","pulih"
"access","akses"
"access","capaian"
"access","i) jalan masuk , tempat masuk ii) capai data daripada simpanan komputer ."
"access","jalan masuk"
"access","laluan"
"access","laluan masuk"
"access","laluan masuk ; capaian"
"access","mengakses"
"access","terusan"
"restaurant","kedai makan"
"restaurant","kedai makan , restoran ."
"restaurant","restoran"
"restaurant","rumah makan"
"publish","dikeluarkan"
"publish","diterbitkan"
"publish","keluarkan"
"publish","mempublikasikan"
"publish","menerbitkan"
"publish","mengeluarkan"
"publish","mengumumkan"
"cost","berharga"
"cost","biaya"
"cost","biaya ; ongkos"
"cost","harga"
"cost","kos"
"cost","membiayai"
"cost","ongkos"
"cost","perbelanjaan"
"relation","berhubungan sanak saudara , pertalian kekeluargaan ."
"relation","hubungan"
"relation","kaitan"
"relation","keluarga"
"relation","kena"
"relation","kena-mengena"
"relation","kerabat"
"relation","penceritaan"
"release","dilepaskan"
"release","kebebasan"
"release","keluaran"
"release","lepasan"
"release","lepaskan"
"own","ada"
"own","adalah"
"own","dimiliki"
"own","kendiri"
"own","memiliki"
"own","mempunyai"
"own","milik"
"own","milik ; punya"
"own","miliki"
"bird","burung"
"bird","unggas"
"opinion","anggapan"
"opinion","anggapan ; buah fikiran ; fikiran ; pandangan ; pendapat ; rasa"
"opinion","fikiran"
"opinion","opini"
"opinion","pendapat"
"opinion","pikir"
"opinion","rasa"
"credit","kepercayaan"
"credit","kredit"
"credit","mempercayai"
"credit","mengkredit"
"credit","penghargaan"
"credit","percaya"
"credit","piutang"
"critical","akut , genting , gawat ."
"critical","genting"
"critical","kegentingan"
"critical","kritikal"
"critical","kritis"
"corner","belok"
"corner","bucu"
"corner","bucu ; ceruk ; pelosok ; penjuru ; sudut"
"corner","hujung"
"recall","fikir"
"recall","ingat"
"recall","ingat ; kenang"
"recall","ingat kembali"
"recall","ingatan"
"recall","memanggil pulang"
"recall","memanggil semula"
"version","pandangan"
"version","terjemahan"
"version","tinjauan"
"version","versi"
"stare","menenung"
"stare","merenung"
"stare","pandangan , renungan ; merenung ."
"stare","renung"
"stare","renungan"
"stare","tenungan"
"safety","keamanan"
"safety","keamanan , keamanan ."
"safety","keselamatan"
"safety","pengawalan"
"safety","perlindungan"
"effective","berkesan"
"effective","berkesan ; manjur"
"effective","efektif"
"original","asal"
"original","asal-usul"
"original","asli"
"original","aslinya"
"original","mula-mula , pertama , asli ."
"original","orisinal"
"original","tak berubah"
"original","yang asli"
"original","yang belum berubah"
"act","akta"
"act","akta ; perbuatan"
"income","gaji"
"income","pendapatan"
"directly","mengenai"
"directly","secara langsung"
"directly","secara terus"
"directly","tepat"
"hurt","cedera"
"hurt","kecederaan"
"hurt","kesakitan"
"species","spesies"
"species","spesis"
"immediately","dengan segera"
"immediately","langsung"
"immediately","segera"
"immediately","serta"
"immediately","serta-merta"
"immediately","terus"
"track","balapan"
"track","bekas roda , jejak , kesan , denai , balapan , gelanggang ."
"track","denai"
"track","jalan"
"track","jejak"
"basic","asas"
"basic","asas , dasar , alas ."
"basic","asas ; dasar"
"basic","asasi"
"basic","asasi ; ruji"
"basic","dasar"
"basic","mendasar"
"basic","umum"
"basic","yang dasar"
"strike","gasak"
"hope","asa"
"hope","asa ; harap ; harapan ; pengharapan"
"hope","berharap"
"sky","angkasa"
"sky","cuaca"
"sky","langit"
"sky","memukul tinggi"
"freedom","kebebasan"
"freedom","kemerdekaan"
"freedom","merdeka"
"absolutely","emang"
"absolutely","memang"
"absolutely","sama sekali , memang , dengan mutlak ."
"plane","i) ketam papan (ii) permukaan licin , satah ."
"plane","kapal terbang"
"plane","ketam"
"plane","licin"
"plane","memeta"
"nobody","tiada siapapun"
"achieve","bertujuan"
"achieve","capai"
"achieve","capai , mencapai ."
"achieve","memenangi"
"achieve","memperoleh ; mencapai"
"achieve","mencapai"
"achieve","menghasilkan"
"achieve","menjayakan"
"object","benda"
"object","berkeberatan"
"object","keberatan"
"object","maksud"
"object","matlamat"
"object","membangkang"
"attitude","gaya"
"attitude","lagak"
"attitude","olah ; sikap"
"attitude","pendirian , sikap , corak fikiran , lagak ."
"attitude","sikap"
"labor","pekerjaan"
"refer","berpandukan"
"refer","meliputi"
"refer","merangkumi"
"refer","merujuk"
"refer","merujukkan"
"refer","rujuk"
"concept","gagasan"
"concept","konsep"
"concept","konsep / gagasan"
"concept","paham"
"concept","tanggapan"
"client","klien"
"client","langganan"
"client","nasabah"
"client","pelanggan"
"powerful","berkuasa"
"powerful","berpengaruh"
"powerful","bertenaga"
"powerful","perkasa"
"perfect","lengkap"
"perfect","menyempurnakan"
"perfect","sempurna"
"perfect","tepat"
"nine","sembilan"
"therefore","demikian"
"therefore","demikian ; jadi-nya ; maka"
"therefore","jadi"
"conduct","adab"
"conduct","bimbing"
"conduct","jalankan"
"conduct","kelakuan"
"conduct","kelolakan"
"conduct","kendali"
"conduct","kendali ; lagak"
"conduct","membimbing"
"conduct","memimpin"
"announce","diumumkan"
"announce","hebah"
"announce","hebah ; isytihar"
"announce","memberi-tahu"
"announce","memberitahukan , mempermaklumkan , mengumumkan ."
"announce","mencanangkan"
"announce","mencanangkan ; menghebahkan ; mengisytiharkan ; mengumumkan ; mewartakan"
"announce","menghebahkan"
"announce","mengisytihar"
"conversation","bualan"
"conversation","bualan ; perbualan ; percakapan"
"conversation","percakapan"
"conversation","percakapan , perbualan ."
"examine","diperiksa"
"examine","diuji"
"examine","diujikan"
"examine","memeriksa"
"examine","memeriksa , menyelidiki , meneliti ."
"examine","meneliti"
"examine","menguji"
"examine","mengujikan"
"touch","bersentuh"
"touch","dipegang"
"touch","jamah"
"touch","jamah ; kena"
"touch","jamahlah"
"touch","kena"
"touch","memegang"
"touch","memilukan"
"touch","memperbaguskan"
"please","bersukaan"
"please","dengan senang"
"please","ditolong"
"please","mempersilakan"
"please","menolong"
"please","menyenangkan"
"attend","ada , hadir ; merawati ."
"attend","dihadiri"
"attend","hadir"
"attend","hadiri"
"attend","ikut"
"attend","kunjungi , mengunjungi ."
"vote","buang undi"
"vote","dipilih"
"vote","memilih"
"vote","memungut suara , pungut suara , suara ."
"vote","mengundi"
"vote","pilih"
"vote","pilihan"
"vote","suara"
"vote","undi"
"variety","aneka ragam"
"variety","berbagai , jenis , ragam ."
"variety","kepelbagaian ; pelbagai"
"variety","pelbagai"
"variety","varieti"
"sleep","bobok"
"sleep","lena"
"sleep","melenakan"
"sleep","menidurkan"
"sleep","talk"
"sleep","tidur"
"involved","dibabitkan"
"involved","dilibatkan"
"involved","sangkut"
"involved","sangkut-paut"
"involved","terbabit"
"involved","terlibat"
"investigation","pemeriksaan"
"investigation","pemeriksaan , penyelidikan ."
"investigation","periksa"
"investigation","perisikan"
"investigation","siasatan"
"nuclear","nuklear"
"nuclear","nukleus"
"nuclear","nukleus ; nuklear"
"nuclear","teras"
"nuclear","yang berkenaan dengan nukleus atom , nuklear ."
"researcher","penelaah"
"researcher","penelaah , peneliti ."
"researcher","pengkaji"
"researcher","penyelidik"
"press","akhbar"
"press","desak"
"press","ditekan"
"press","melicinkan"
"press","memaksa"
"press","memerah"
"conflict","guam"
"conflict","guam ; guaman ; percanggahan ; perguaman"
"conflict","konflik"
"spirit","alkohol"
"spirit","arak"
"spirit","hantu"
"spirit","jin"
"spirit","jin ; jiwa ; mambang ; roh ; semangat"
"spirit","jiwa"
"spirit","ke beranian"
"spirit","kecergasan"
"experience","alam"
"experience","alam ; pengalaman"
"experience","alami"
"experience","dialami"
"experience","dirasakan"
"experience","mengalami"
"experience","mengalami ; menghayati"
"experience","merasakan"
"replace","dikembalikan"
"replace","gantikan"
"British","Anglo"
"encourage","desak"
"encourage","galak"
"encourage","galakkanlah"
"encourage","gesa"
"encourage","memberanikan ; mempergiatkan ; menggalakkan ; menggiatkan"
"encourage","membesarkan hati"
"argument","hujah"
"argument","hujah , perbahasan ."
"argument","hujahan"
"argument","perbantahan"
"argument","perbedaan pendapat"
"by","dekat"
"by","dengan"
"by","di samping"
"by","hampir"
"by","melalui"
"by","melintasi"
"by","menerusi"
"by","menjelang"
"by","oleh"
"once","bekas"
